code,corpname,title,link,description,pubDate
055000,동서정보기술,"[에너지공기업 데일리 이슈] 전기연구원, 경남 김해에 전력반도체 대형 인프라...",http://www.hansbiz.co.kr/news/articleView.html?idxno=660751,"한편 KERI는 과학<b>기술정보</b>통신부 국가과학<b>기술</b>연구회 산하 정부출연연구기관이다. 총 120건 이상의... ◆<b>동서</b>발전, 발전소 건설에 스마트 굴착기 시범 도입 한국<b>동서</b>발전은 17일 충북 음성군 평곡리 음성천연가스발전소... ",2023-08-17 15:48:00
032600,애드모바일,"모티브인텔리전스, Adjust·Appsflyer와 CTV 광고 인앱 성과측정 연동",https://www.job-post.co.kr/news/articleView.html?idxno=83270,"<b>애드</b>테크 기업 ㈜모티브인텔리전스가 MMP(글로벌 <b>모바일</b> 측정 파트너) 사인 <b>애드</b>저스트(Adjust), 앱스플라이어(AppsFlyer)와 연동을 완료하고 CTV 광고의 인앱 성과측정에 대한 지원을 17일 발표했다. 17일... ",2023-08-17 15:38:00
032600,애드모바일,모티브인텔리전스 “CTV 광고 성과측정 지원한다”,https://n.news.naver.com/mnews/article/030/0003126447?sid=101,"모티브인텔리전스(대표 양준모)가 최근 <b>애드</b>저스트(Adjust), 앱스플라이어(AppsFlyer)와 함께 &apos;CTV 광고 인앱 성과측정 지원 측정 방안&apos;을 발표했다고 17일 밝혔다. 삼사는 향후 <b>모바일</b>게임, <b>모바일</b> 커머스, O2O 앱... ",2023-08-17 10:45:00
032600,애드모바일,&apos;자기계발&apos; 진심인 MZ세대 직장인들…&quot;플랫폼이 해결사&quot;,https://n.news.naver.com/mnews/article/003/0012035359?sid=101,디지털 마케팅 분야에서 풀스택 마케팅 서비스를 제공하고 있는 <b>애드</b>테크 스타트업 팀민트는 최근... 종이 영수증을 <b>모바일</b> 앱 기반의 전자 영수증으로 대체해 반복적인 기업 비용 관리 과정을 스마트폰과 PC로 실시간... ,2023-08-17 09:51:00
032600,애드모바일,대기업 러브콜 받는 스타트업의 B2B 서비스 주목,https://n.news.naver.com/mnews/article/144/0000907126?sid=103,디지털 마케팅 분야에서 풀스택 마케팅 서비스를 제공하고 있는 <b>애드</b>테크 스타트업 팀민트는 최근... 종이 영수증을 <b>모바일</b> 애플리케이션 기반의 전자 영수증으로 대체해 반복적인 기업 비용 관리 과정을 스마트폰과... ,2023-08-17 01:24:00
013650,데코,"강레오 셰프, 주조하우스 방문해 프랑스식 저녁 한 상(세컨하우스2)[종합]",https://n.news.naver.com/mnews/article/213/0001267068?sid=106,걸쭉해진 소스에 닭고기를 넣고 쪽파로 마무리 <b>데코</b>를 올렸다. 강레오 셰프가 직접 수확한 땅콩호박도 식사 메뉴로 더해졌다. 세 사람은 주조하우스에서 만족스러운 저녁 식사를 즐겼다. 조재윤은 &quot;너무 맛있다&quot;고 연신... ,2023-08-17 23:44:00
013650,데코,"하남시, 미사역 무인우편접수기 설치···편의성 개선",https://www.kmaeil.com/news/articleView.html?idxno=412183,"미사강변도시에는 우편물을 접수할 수 있는 장소가 하남미사우체국, 하남미사2동우편취급국, 아이<b>데코</b>무인우체국 3곳에 불과해 주민들이 인구 대비 우편 시설 부족에 따른 불편을 겪어야 했다. 이현재 시장은 이 같은... ",2023-08-17 16:46:00
013650,데코,"데쿠, 15년 만에 FC바르셀로나 컴백...스포르팅 디렉터로 활약",https://sports.news.naver.com/news.nhn?oid=468&aid=0000971741,출처|FC바르셀로나 지난 2004년부터 2008년까지 FC바르셀로나 미드필더로 활약했던 <b>데코</b>(45). 그가 15년 만애 팀의 스포르팅 디렉터로 컴백했다. 바르사는 17일 홈페이지를 통해 그와의 계약 사실을 공식 발표했다.... ,2023-08-17 16:24:00
013650,데코,"하남시, 미사역 무인우편접수기 설치 가시화",http://www.shinailbo.co.kr/news/articleView.html?idxno=1747179,"미사강변도시에는 우편물을 접수할 수 있는 장소가 하남미사우체국, 하남미사2동우편취급국, 아이<b>데코</b>무인우체국 3곳에 불과해 주민들이 인구 대비 우편 시설 부족에 따른 불편을 겪어야 했다. 이현재 시장은 “시는... ",2023-08-17 16:12:00
013650,데코,"그랜드 인터컨티넨탈 서울 파르나스, 국내 웨딩 패러다임 바꿀 &apos;더 로열 웨딩...",https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065594487369400,"싱그럽고 우아한 대저택의 정원의 모습을 담아낸 화이트와 그린 컬러의 행잉 플라워 <b>데코</b>레이션, 실링 <b>데코</b>를 통해 입구와 무대를 하나로 연결하는 거대한 나무 장식, 그리고 은하수가 폭포수처럼 떨어지는 듯한... ",2023-08-17 15:32:00
013650,데코,"하남시, 미사역 무인우편접수기 설치 가시화",http://www.weeklytoday.com/news/articleView.html?idxno=583870,미사강변도시에는 우편물을 접수할 수 있는 장소가 ▲하남미사우체국 ▲하남미사2동우편취급국 ▲아이<b>데코</b>무인우체국 3곳에 불과해 주민들이 인구 대비 우편 시설 부족에 따른 불편을 겪어야 했다. 이현재 시장은 이 같은... ,2023-08-17 15:28:00
013650,데코,"이현재 하남시장, 미사 주민 간담회서 주요 현안 추진현황 설명",https://www.ajunews.com/view/20230817144639030,미사강변도시에는 우편물을 접수할 수 있는 장소가 △하남미사우체국 △하남미사2동우편취급국 △아이<b>데코</b>무인우체국 3곳에 불과해 주민들이 인구 대비 우편 시설 부족에 따른 불편을 겪어야 했다. 이현재 시장은 이... ,2023-08-17 14:54:00
013650,데코,"하남시, 미사역 무인우편접수기 설치 가시화",http://www.metroseoul.co.kr/article/20230817500454,미사강변도시에는 우편물을 접수할 수 있는 장소가 ▲하남미사우체국 ▲하남미사2동우편취급국 ▲아이<b>데코</b>무인우체국 3곳에 불과해 주민들이 인구 대비 우편 시설 부족에 따른 불편을 겪어야 했다. 이현재 시장은 이 같은... ,2023-08-17 14:54:00
013650,데코,"하남시, 미사역 무인우편접수기 설치 가시화",https://www.discoverynews.kr/news/articleView.html?idxno=1031491,미사강변도시에는 우편물을 접수할 수 있는 장소가 ▲하남미사우체국 ▲하남미사2동우편취급국 ▲아이<b>데코</b>무인우체국 3곳에 불과해 주민들이 인구 대비 우편 시설 부족에 따른 불편을 겪어야 했다. 이현재 시장은 이 같은... ,2023-08-17 12:44:00
013650,데코,"하남시, 미사역 무인우편접수기 설치로 주민 불편 해소",https://n.news.naver.com/mnews/article/119/0002740657?sid=102,미사강변도시에는 우편물을 접수할 수 있는 장소가 △하남미사우체국 △하남미사2동우편취급국 △아이<b>데코</b>무인우체국 등 3곳에 불과해 주민들이 인구 대비 우편 시설 부족에 따른 불편을 겪어야 했다. 이현재 시장은 이... ,2023-08-17 12:20:00
013650,데코,"그랜드 인터컨티넨탈 서울 파르나스, &apos;더 로열 웨딩 스와레&apos; 쇼케이스 선보여",https://www.onews.tv/news/articleView.html?idxno=177341,"예식이 진행되는 그랜드 볼룸에는 화이트와 그린 컬러의 행잉 플라워 <b>데코</b>레이션, 실링 <b>데코</b>를 통해 입구와 무대를 하나로 연결하는 나무 장식, 그리고 크리스털 드롭 무대 장식으로 연출했다. 특히 &apos;더 로열 웨딩... ",2023-08-17 12:08:00
013650,데코,하남 미사역에서도 &apos;우편물&apos; 접수 가능,http://www.kyeongin.com/main/view.php?key=20230817010003402,시는 올해 안에 무인 우편 접수기를 설치한다는 계획이다.그간 미사강변도시에는 우편물을 접수할 수 있는 장소가 ▲하남미사우체국 ▲하남미사2동우편취급국 ▲아이<b>데코</b>무인우체국 3곳에 불과해 주민들이 인구 대비... ,2023-08-17 11:28:00
013650,데코,"인터컨티넨탈 파르나스, &apos;더 로열 웨딩 스와레&apos; 쇼케이스 성료",https://n.news.naver.com/mnews/article/421/0006994566?sid=103,"그랜드 볼룸은 화이트와 그린 컬러 행잉 플라워 <b>데코</b>레이션, 실링 <b>데코</b>를 통해 입구와 무대를 연결하는 거대한 나무 장식, 크리스털 드롭 무대 장식으로 꾸몄다. 버진로드 중앙엔 분수를 설치했다. 분수 주변 버진로드는... ",2023-08-17 10:47:00
013650,데코,"프랑스 티 하우스 쿠스미티, 팝업 스토어 ‘쿠스미 써머 팔레트’ 오픈",https://n.news.naver.com/mnews/article/005/0001631474?sid=103,"스티커 등 <b>데코</b> 용품으로 쿠스미 써머캔을 꾸밀 수 있는 ‘캔꾸스미티 콘테스트’ 공간이 마련돼 있어, 다채로운 쿠스미티 스티커로 자신만의 감성을 담은 쿠스미 써머캔을 직접 만들 수 있다. 완성된 쿠스미 써머캔을... ",2023-08-17 10:41:00
013650,데코,[유통 단신] 스타벅스·CJ프레시웨이·해태 外,http://www.dailypop.kr/news/articleView.html?idxno=71297,"&apos;사이렌 트렌타 콜드컵&apos;은 바이오 플라스틱인 에코젠 소재로 제작했으며, 취향에 따라 자유롭게 텀블러를 꾸밀 수 있는 <b>데코</b> 스티커를 함께 제공한다. &apos;사이렌 트렌타 콜드컵&apos;과 &apos;트렌타 음료&apos;를 함께 구매하는... ",2023-08-17 09:52:00
013650,데코,"프랑스 프리미엄 티 하우스 ‘쿠스미티’, 국내 팝업스토어 ‘쿠스미 써머 팔...",https://www.socialvalue.kr/news/view/1065574000930625,스티커 등 <b>데코</b> 용품으로 쿠스미 써머캔을 꾸밀 수 있는 ‘캔꾸스미티 콘테스트’ 공간이 마련돼 있어 다채로운 쿠스미티 스티커로 자신만의 감성을 담은 쿠스미 써머캔을 직접 만들 수 있다. 완성된 쿠스미 써머캔을... ,2023-08-17 09:48:00
013650,데코,"쿠스미티, 국내 최초 팝업 스토어 &apos;쿠스미 써머 팔레트&apos; 오픈",https://n.news.naver.com/mnews/article/018/0005552751?sid=101,"스티커 등 <b>데코</b> 용품으로 쿠스미 써머캔을 꾸밀 수 있는 ‘캔꾸스미티 콘테스트’ 공간이 마련돼 있어, 다채로운 쿠스미티 스티커로 자신만의 감성을 담은 쿠스미 써머캔을 직접 만들 수 있다. 완성된 쿠스미 써머캔을... ",2023-08-17 09:09:00
013650,데코,"티 하우스 ‘쿠스미티’, 팝업 스토어 ‘쿠스미 써머 팔레트’ 오픈",https://hobbyen-news.com/news/view/1065595289201346,"이외 인스타그램과 카카오채널을 모두 팔로우한 방문객에게는 쿠스미티 여름 베스트셀러 ‘아쿠아로사 미니캔’을 증정하고, 스티커 등 <b>데코</b> 용품으로 쿠스미 써머캔을 꾸밀 수 있는 ‘캔꾸스미티 콘테스트’ 공간을... ",2023-08-17 09:06:00
013650,데코,"프랑스 티 하우스 쿠스미티, 팝업 스토어 &apos;쿠스미 써머 팔레트&apos; 오픈",https://www.sisunnews.co.kr/news/articleView.html?idxno=188329,"스티커 등 <b>데코</b> 용품으로 쿠스미 써머캔을 꾸밀 수 있는 &apos;캔꾸스미티 콘테스트&apos; 공간이 마련돼 있어, 다채로운 쿠스미티 스티커로 자신만의 감성을 담은 쿠스미 써머캔을 직접 만들 수 있다. 완성된 쿠스미 써머캔을... ",2023-08-17 09:04:00
013650,데코,"프랑스 프리미엄 티 하우스 쿠스미티, 국내 최초 팝업 스토어 &apos;쿠스미 써머 팔...",http://www.dailypop.kr/news/articleView.html?idxno=71298,"스티커 등 <b>데코</b> 용품으로 쿠스미 써머캔을 꾸밀 수 있는 &apos;캔꾸스미티 콘테스트&apos; 공간이 마련돼 있어, 다채로운 쿠스미티 스티커로 자신만의 감성을 담은 쿠스미 써머캔을 직접 만들 수 있다. 완성된 쿠스미 써머캔을... ",2023-08-17 09:02:00
