code,corpname,title,link,description,pubDate
032600,애드모바일,백투더 피처폰...당신을 거쳐 간 피처폰은 몇 개인가요,http://www.handmk.com/news/articleView.html?idxno=17342,각각 &apos;T팩토리&apos;와 &apos;KT<b>애드</b>샵플러스&apos;에 8090세대들의 추억을 자극할 만한 V컬러링 체험존을 연 것. 지금도... 미니게임천국은 컴투스가 2005년 만든 아케이드 <b>모바일</b> 게임으로  13종의 미니 게임의 반복적인 플레이를 통해... ,2023-08-18 09:02:00
037600,씨모스,"<b>써모스</b>, 18일 단하루 네이버 브랜드데이에서 &apos;키즈용 보틀&apos; 공개 할인판매까지",http://www.shinailbo.co.kr/news/articleView.html?idxno=1746625,글로벌 보온병 브랜드 <b>써모스</b>가 오는 18일 단 하루 네이버 브랜드데이와 쇼핑라이브 방송을 통해 <b>써모스</b> 키즈 카테고리 스테디셀러인 ‘마이 디자인 보틀 원터치 타입 시즌 2 250ml’를 최대 38% 할인해 최초 공개하며... ,2023-08-18 08:12:00
013650,데코,가구박람회 코펀·우드페어 목재산업박람회 일산 킨텍스에서 동시 개최,http://www.e2news.com/news/articleView.html?idxno=257036,"박람회 참가자들은 탄소중립 실현을 위한 목재산업분야 정보도 한눈에 확인할 수 있다 에몬스가구, 시몬스, 템퍼, 디쟈트 등 홈리빙 가구와 오피스 가구, 홈<b>데코</b>, 인테리어 관련 유명 종합 가구 브랜드가 대거 참가한다.... ",2023-08-18 15:16:00
013650,데코,"하남시, 미사역 무인우편접수기 설치 가시화",https://www.viva100.com/main/view.php?key=20230818010005014,미사강변도시에는 우편물을 접수할 수 있는 장소가 ▲하남미사우체국 ▲하남미사2동우편취급국 ▲아이<b>데코</b>무인우체국 3곳에 불과해 주민들이 인구 대비 우편 시설 부족에 따른 불편을 겪어야 했다. 이현재 시장은 이 같은... ,2023-08-18 09:40:00
024100,제일저축은행,"대출 브랜드평판 8월 빅데이터 분석결과...1위 IBK기업<b>은행</b>, 2위 우리<b>은행</b>, 3...",http://www.wsobi.com/news/articleView.html?idxno=211303,"푸른<b>저축은행</b>, OSB<b>저축은행</b>, 스카이<b>저축은행</b>, 한성<b>저축은행</b>, 동원<b>제일저축은행</b>, 삼호<b>저축은행</b>, 유니온<b>저축은행</b>, 세람<b>저축은행</b>, 조은<b>저축은행</b>, 엠에스<b>저축은행</b>, 금화<b>저축은행</b>, 오투<b>저축은행</b> 대출이다.",2023-08-18 11:34:00
036790,자강,[신간]정성장 박사 &quot;왜 우리는 핵보유국이 되어야 하는가&quot; 저서출간,http://www.breaknews.com/982466,학계의 대표적인 &apos;핵 <b>자강</b>론자&apos;인 정성장 세종연구소 통일전략연구실장이 최근... 핵<b>자강</b>론을 제안한다.”고 거듭 강조했다. 지은이_정성장 박사의 걸어온 길 정성장... ,2023-08-18 14:28:00
036790,자강,[신간] 왜 우리는 핵보유국이 되어야 하는가,http://www.kukinews.com/newsView/kuk202308180081,지은이_ 정성장 세종연구소 통일전략연구실장을 맡고 있으며 한국핵<b>자강</b>전략포럼 대표로 활동하고 있다.... 핵<b>자강</b>을 적극적으로 고려해야 하는 이유 1. 협상을 통한 북한 비핵화 가능성 희박 2. 비핵무기로 핵무기에... ,2023-08-18 13:26:00
036790,자강,[신간] &quot;왜 우리는 핵보유국이 되어야 하는가&quot;,http://www.lkp.news/news/articleView.html?idxno=34998,"핵<b>자강</b>론이 오는 8월 24일 한 권의 책으로 출간될 예정이다. 출판 메디치미디어 세종연구소 통일전략연구실장, 한국핵<b>자강</b>전략포럼 대표인 저자 정성장은 &quot;우리 사회 일각에서 독자적 핵무장론은 극우의 담론으로... ",2023-08-18 13:16:00
036790,자강,일제강점기 조선인에게 과학은 ‘교양’,https://n.news.naver.com/mnews/article/081/0003385785?sid=103,시대의 아픔과 비극을 과학 공부로 이겨 내려고 했던 조선인에게 ‘과학’은 ‘자립과 <b>자강</b>’이었다. 100년 전 조선에서 과학 관련 기사가 크게 실리고 교양으로 과학을 공부했다는 사실이 흥미진진하지만 과학기술의... ,2023-08-18 05:04:00
037110,제이에스,"&apos;왕릉뷰 아파트&apos; 건설사, 2심도 승소…&apos;문화재청, 공사 중지 부당&apos;",https://n.news.naver.com/mnews/article/421/0006997496?sid=102,"대광건영), <b>제이에스</b>글로벌(시공사 금성백조), 대방건설 등 3곳에 공사 중지를 명령하고 문화재보호법 위반... <b>제이에스</b>글로벌과 대광이엔씨 등도 1심 행정소송에서 승소했고 내달 7일 항소심 판결을 앞두고 있다. 김포... ",2023-08-18 15:39:00
037110,제이에스,검단신도시 &apos;왕릉뷰 아파트&apos; 소송 2심도 건설사 승소,https://n.news.naver.com/mnews/article/277/0005301876?sid=102,"앞서 대방건설과 <b>제이에스</b>글로벌, 대광이엔씨는 인천검단신도시개발사업으로 조성된 공동주택용지를... 지난해 7월 서울행정법원 행정6부(부장판사 이주영)는 대광이엔씨와 <b>제이에스</b>글로벌이 문화재청... ",2023-08-18 15:32:00
037110,제이에스,&apos;왕릉뷰 아파트&apos; 공사 중지 명령 2심서도 &quot;부당&quot; 판결,https://n.news.naver.com/mnews/article/079/0003803163?sid=102,같은 부지에 아파를 지은 <b>제이에스</b>글로벌 대광이엔씨도 행정소송을 내 역시 1심에서 승소했으며 이 소송의 항소심 결과는 내달 나온다. 김포 장릉은 조선 인조의 아버지 추존왕 원종과 부인 인헌왕후의 무덤으로... ,2023-08-18 15:18:00
037110,제이에스,왕릉과 이웃 됐네… 법원 &quot;대방건설 무덤뷰 아파트 문제 없다&quot;,https://n.news.naver.com/mnews/article/417/0000942970?sid=102,해당 판결로 대방건설이 1심에 이어 항소심에서도 승소하며 또 다른 건설업체인 대광이엔씨와 <b>제이에스</b>글로벌의 재판 결과에 시선이 쏠리고 있다. 이들 업체 또한 궁능유적본부를 상대로 공사중지 명령처분 취소소송을... ,2023-08-18 15:11:00
